TaxID	Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
35703	Citrobacter amalonaticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	-	"Arthropod,Environment,Human,Mammal,Rodent"	BSL-2	Skin/Soft tissue;Urinary system
35790	Rickettsia japonica	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia japonica	-	Human	BSL-3	
35814	Bordetella holmesii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella holmesii	-	Human	BSL-2	
35818	Helicobacter pullorum	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pullorum	-	"Birds,Human"	BSL-2	Digestive system
36808	Corynebacterium bovis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium bovis	+	"Human,Mammal,Rodent"	BSL-2	
36809	Mycobacteroides abscessus	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides abscessus	-	Human	null	Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
36855	Brucella canis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella canis	-	"Environment,Human,Mammal"	BSL-3	Blood
37326	Nocardia brasiliensis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	+	Human	BSL-2	
37329	Nocardia farcinica	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia farcinica	+	"Human,Mammal"	BSL-2	Bone/Joint;Respiratory system;Skin/Soft tissue
37330	Nocardia nova	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia nova	+	"Human,Plant"	BSL-2	Respiratory system
37333	Nocardia transvalensis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia transvalensis	+	Human	BSL-2	
37372	Helicobacter bilis	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bilis	-	"Human,Mammal,Rodent"	BSL-2	Digestive system
37637	Corynebacterium pseudodiphtheriticum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	+	Human	BSL-2	
37734	Enterococcus casseliflavus	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus	+	"Arthropod,Birds,Environment,Human,Mammal"	BSL-2	Blood;Urinary system
38288	Corynebacterium genitalium	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium genitalium	+	Human	null	
38289	Corynebacterium jeikeium	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	+	Human	BSL-2	Digestive system
38290	Corynebacterium macginleyi	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium macginleyi	+	Human	BSL-2	Eye/Ear/Oral/Nasal
38293	Photobacterium damselae	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	null	"Arthropod,Human,Mammal,Vertebrate"	BSL-2	
38301	Corynebacterium minutissimum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium minutissimum	+	Human	BSL-2	Skin/Soft tissue
38304	Corynebacterium tuberculostearicum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium tuberculostearicum	+	Human	null	
38323	Bartonella henselae	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella henselae	-	"Human,Mammal"	BSL-2	Blood;Cardiovascular system
39777	Veillonella atypica	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	-	Human	BSL-1	Eye/Ear/Oral/Nasal
39778	Veillonella dispar	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar	-	Human	BSL-1	
40214	Acinetobacter johnsonii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	-	"Arthropod,Birds,Human,Mammal,Vertebrate"	BSL-2	Blood;Respiratory system
40215	Acinetobacter junii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter junii	-	"Human,Mammal,Plant"	BSL-2	Blood;Respiratory system;Skin/Soft tissue;Urinary system
40216	Acinetobacter radioresistens	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	-	"Birds,Human,Mammal,Plant,Reptile,Rodent"	BSL-1	Blood;Bone/Joint;Respiratory system;Skin/Soft tissue
40324	Stenotrophomonas maltophilia	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas maltophilia	-	"Arthropod,Birds,Human,Insect,Mammal,Mollusc,Plant,Primate,Reptile,Rodent,Vertebrate"	null	Blood;Digestive system;Respiratory system;Skin/Soft tissue;Urinary system
42862	Rickettsia felis	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia felis	-	"Human,Mammal"	BSL-3	
43675	Rothia mucilaginosa	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa	+	Human	null	
43767	Prescottella equi	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Prescottella	Prescottella equi	+	"Human,Mammal"	BSL-2	Digestive system;Respiratory system
43769	Corynebacterium propinquum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium propinquum	+	Human	BSL-2	
43770	Corynebacterium striatum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium striatum	+	Human	BSL-2	Blood;Cardiovascular system;Respiratory system
44007	Enterococcus pseudoavium	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus pseudoavium	+	"Birds,Human,Mammal,Vertebrate"	BSL-2	
45254	Dysgonomonas capnocytophagoides	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas capnocytophagoides	null	Human	null	Digestive system
45634	Streptococcus cristatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus	+	Human	BSL-1	Cardiovascular system;Skin/Soft tissue
45972	Staphylococcus pasteuri	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pasteuri	+	"Human,Mammal,Primate,Rodent"	BSL-2	Cardiovascular system;Reproductive system;Skin/Soft tissue
46124	Granulicatella adiacens	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens	null	"Human,Rodent"	BSL-2	
46125	Abiotrophia defectiva	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	null	Human	BSL-2	Cardiovascular system
