Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Staphylococcus haemolyticus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	+	Human;Mammal;Rodent	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Staphylococcus xylosus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus	+	Arthropod;Birds;Human;Mammal;Reptile;Rodent	BSL-1	Reproductive system;Urinary system
Staphylococcus hominis	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis	+	Arthropod;Birds;Human;Mammal	BSL-2	Blood;Immune system;Reproductive system
Staphylococcus warneri	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus warneri	+	Human;Mammal;Primate;Rodent;Vertebrate	BSL-1	Blood;Central nervous system;Digestive system;Reproductive system;Respiratory system;Urinary system
Staphylococcus schleiferi	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus schleiferi	+	Human;Mammal	BSL-2	Eye/Ear/Oral/Nasal;Skin/Soft tissue
Streptococcus gordonii	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii	+	Human	BSL-2	Cardiovascular system;Eye/Ear/Oral/Nasal;Respiratory system
Streptococcus oralis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis	+	Human;Primate;Rodent	BSL-2	Cardiovascular system;Eye/Ear/Oral/Nasal
Streptococcus salivarius	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	+	Human	BSL-2	Blood;Cardiovascular system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Streptococcus sanguinis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	+	Human;Mammal;Primate	BSL-2	Cardiovascular system;Skin/Soft tissue
Streptococcus suis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	+	Birds;Human;Mammal	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Respiratory system
Streptococcus sobrinus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sobrinus	+	Human;Rodent	BSL-2	
Streptococcus agalactiae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	+	Amphibian;Birds;Human;Mammal;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Streptococcus pneumoniae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	+	Human;Mammal;Primate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Streptococcus pyogenes	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	+	Human	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Streptococcus parasanguinis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	+	Human;Vertebrate	BSL-2	Cardiovascular system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system
Streptococcus anginosus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus	+	Human	BSL-2	Blood;Cardiovascular system;Digestive system;Eye/Ear/Oral/Nasal
Streptococcus canis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus canis	+	Human;Mammal	BSL-2	Blood;Bone/Joint;Cardiovascular system;Digestive system;Eye/Ear/Oral/Nasal
Streptococcus dysgalactiae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae	+	Human;Mammal;Vertebrate	BSL-2	Blood;Cardiovascular system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Skin/Soft tissue
Streptococcus equinus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus	+	Human;Mammal	BSL-2	Respiratory system
Streptococcus equi	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equi	+	Human;Mammal;Primate;Rodent	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Streptococcus intermedius	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius	+	Human	BSL-2	Digestive system
Streptococcus vestibularis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis	+	Human	BSL-2	Blood;Cardiovascular system;Eye/Ear/Oral/Nasal;Respiratory system
Streptococcus iniae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus iniae	+	Human;Mammal;Vertebrate	BSL-2	Blood
Streptococcus uberis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis	+	Human;Mammal	BSL-2	Reproductive system
Enterococcus faecalis	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	+	Birds;Environment;Human;Mammal;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Enterococcus faecium	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	+	Birds;Environment;Human;Mammal;Mollusc;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Enterococcus gallinarum	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum	+	Birds;Human;Mammal;Plant;Primate;Rodent	BSL-2	Blood;Bone/Joint;Digestive system;Urinary system
Lactococcus lactis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	+	Arthropod;Human;Insect;Mammal;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-1	
Lactococcus garvieae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	+	Human;Mammal;Rodent;Vertebrate	BSL-2	Cardiovascular system;Digestive system;Reproductive system;Respiratory system
Gemella haemolysans	Bacteria	Bacillota	Bacilli	Bacillales	Gemellaceae	Gemella	Gemella haemolysans	+	Human	null	Eye/Ear/Oral/Nasal;Respiratory system
Bacillus anthracis	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	+	Environment;Human;Mammal;Plant	BSL-3	Reproductive system;Skin/Soft tissue
Bacillus cereus	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	+	Arthropod;Birds;Environment;Human;Mammal;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Bacillus licheniformis	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	+	Arthropod;Birds;Human;Mammal;Plant;Rodent	BSL-1	Respiratory system
Bacillus pumilus	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	+	Arthropod;Birds;Human;Mammal;Plant;Primate;Reptile	BSL-1	
Bacillus subtilis	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	+	Arthropod;Birds;Fungi;Human;Mammal;Mollusc;Plant;Primate;Rodent;Vertebrate	BSL-1	Blood
Bacillus thuringiensis	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	+	Arthropod;Birds;Human;Mammal;Plant;Reptile;Rodent	BSL-2	
Brevibacillus laterosporus	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus	+	Human;Insect;Mammal;Plant	null	
Clostridium botulinum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum	+	Arthropod;Birds;Human;Mammal	BSL-2	Central nervous system;Digestive system;Skin/Soft tissue
Clostridioides difficile	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	+	Birds;Environment;Human;Insect;Mammal;Primate;Rodent	BSL-2	Blood;Cardiovascular system;Digestive system;Respiratory system;Skin/Soft tissue;Urinary system
Clostridium perfringens	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium perfringens	+	Birds;Human;Mammal;Primate;Rodent	BSL-2	Blood;Digestive system;Skin/Soft tissue
Clostridium septicum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium septicum	+	Birds;Human	null	
Paraclostridium sordellii	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium sordellii	-	Human;Mammal;Rodent	BSL-2	Digestive system
Clostridium symbiosum	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Clostridium symbiosum	+	Birds;Human;Mammal;Rodent	BSL-2	
Clostridium tetani	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tetani	+	Human	BSL-2	
Clostridium cadaveris	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium cadaveris	+	Birds;Human;Mammal	BSL-2	
Clostridium novyi	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium novyi	+	Birds;Human;Mammal	BSL-2	
Thomasclavelia ramosa	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia ramosa	+	Human;Mammal;Rodent	null	
Clostridium tertium	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tertium	+	Human;Mammal	BSL-2	
Clostridium baratii	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium baratii	+	Human;Mammal	BSL-2	Central nervous system
Lactobacillus acidophilus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	+	Birds;Human;Mammal	BSL-1	
Lactiplantibacillus plantarum	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	+	Arthropod;Birds;Human;Insect;Mammal;Plant;Rodent;Vertebrate	BSL-1	
Lactobacillus gasseri	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	+	Human;Mammal	BSL-1	
Latilactobacillus sakei	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus sakei	+	Human;Mammal;Vertebrate	null	
Limosilactobacillus fermentum	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	+	Birds;Food;Human;Mammal;Plant	BSL-1	
Listeria monocytogenes	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	+	Arthropod;Birds;Environment;Food;Human;Mammal;Mollusc;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Listeria grayi	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria grayi	+	Human	BSL-1	
Listeria innocua	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	+	Birds;Food;Human;Mammal	BSL-1	
Erysipelothrix rhusiopathiae	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae	+	Human;Mammal;Vertebrate	BSL-2	Blood;Bone/Joint;Skin/Soft tissue
Actinomyces naeslundii	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii	+	Human	BSL-2	
Actinomyces israelii	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii	+	Human	BSL-2	Central nervous system
Trueperella pyogenes	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes	+	Human;Mammal	BSL-2	Immune system;Reproductive system
Corynebacterium diphtheriae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	+	Human	BSL-2	Blood;Bone/Joint;Cardiovascular system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Corynebacterium pseudotuberculosis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudotuberculosis	+	Human;Mammal	BSL-2	Blood;Bone/Joint;Digestive system;Immune system;Respiratory system;Skin/Soft tissue;Urinary system
Corynebacterium xerosis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium xerosis	+	Birds;Human;Mammal	BSL-1	Eye/Ear/Oral/Nasal
Cutibacterium acnes	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	+	Birds;Human;Primate;Rodent	null	Bone/Joint;Eye/Ear/Oral/Nasal;Skin/Soft tissue
Arachnia propionica	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia propionica	+	Human;Mammal	BSL-2	Eye/Ear/Oral/Nasal
Mycobacterium avium	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	+	Birds;Human;Mammal;Primate	BSL-2	Blood;Respiratory system
Mycolicibacterium fortuitum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium fortuitum	+	Human;Mammal;Vertebrate	BSL-2	Respiratory system
Mycobacterium kansasii	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii	+	Birds;Human;Mammal;Primate	BSL-2	Respiratory system
Mycobacterium leprae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium leprae	+	Human	BSL-2	
Mycolicibacterium smegmatis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis	+	Human	null	
Mycobacterium tuberculosis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	+	Human;Mammal;Primate	BSL-3	Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system
Mycobacteroides chelonae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides chelonae	-	Human;Mammal;Reptile;Vertebrate	BSL-2	Respiratory system;Skin/Soft tissue
Mycobacterium gordonae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gordonae	+	Human	null	Blood
Mycobacterium malmoense	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium malmoense	+	Human	BSL-2	
Mycobacterium scrofulaceum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium scrofulaceum	+	Human	BSL-2	Immune system
Mycobacterium simiae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium simiae	+	Human	BSL-2	Respiratory system
Mycobacterium szulgai	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium szulgai	+	Human	BSL-2	
Mycobacterium xenopi	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium xenopi	+	Amphibian;Human	BSL-2	Respiratory system
Mycobacterium ulcerans	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium ulcerans	+	Human;Mammal	BSL-2	Skin/Soft tissue
Nocardia otitidiscaviarum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia otitidiscaviarum	+	Human;Rodent	BSL-2	Respiratory system
Nocardia asteroides	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia asteroides	+	Human	BSL-2	
Actinomadura madurae	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura madurae	+	Human	BSL-2	Skin/Soft tissue
Rothia dentocariosa	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia dentocariosa	+	Human	BSL-2	Respiratory system
Mycoplasma capricolum	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma capricolum	+	Human;Mammal	null	Central nervous system;Reproductive system;Respiratory system
Mycoplasmoides genitalium	Bacteria	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides genitalium	+	Human	BSL-2	
Mycoplasmoides pneumoniae	Bacteria	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides pneumoniae	+	Human	BSL-2	Respiratory system
Gardnerella vaginalis	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	-	Human	BSL-2	Blood;Reproductive system
Burkholderia mallei	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia mallei	-	Human;Mammal	BSL-3	Eye/Ear/Oral/Nasal
Streptococcus mitis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	+	Human;Primate	BSL-2	Blood;Cardiovascular system;Eye/Ear/Oral/Nasal
Campylobacter upsaliensis	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter upsaliensis	-	Human;Mammal	BSL-2	
Acinetobacter lwoffii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	-	Arthropod;Birds;Human;Mammal	BSL-2	Blood;Respiratory system
Burkholderia gladioli	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli	-	Environment;Human;Mammal;Plant	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system
Tannerella forsythia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia	-	Human;Mammal	null	Eye/Ear/Oral/Nasal
Bacteroides ovatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	-	Birds;Human;Mammal;Rodent	null	Blood;Digestive system
Bacteroides zoogleoformans	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides zoogleoformans	-	Human	BSL-2	Eye/Ear/Oral/Nasal
Porphyromonas asaccharolytica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas asaccharolytica	-	Human	BSL-2	Respiratory system
Prevotella bivia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bivia	-	Human	BSL-2	
Segatella buccae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella buccae	-	Human	BSL-2	Respiratory system
Hoylesella buccalis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella buccalis	-	Human	BSL-2	
Prevotella corporis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella corporis	-	Human	BSL-2	
Prevotella denticola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella denticola	-	Human	BSL-2	Digestive system;Respiratory system;Skin/Soft tissue
Prevotella disiens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella disiens	-	Human	BSL-2	
Prevotella intermedia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella intermedia	-	Human	BSL-2	Bone/Joint;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Prevotella melaninogenica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica	-	Human	BSL-2	Respiratory system
Prevotella nigrescens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens	-	Human	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Respiratory system
Hoylesella oralis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella oralis	-	Human	BSL-2	
Segatella oris	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella oris	-	Human	BSL-2	Eye/Ear/Oral/Nasal
Segatella oulorum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella oulorum	-	Human	BSL-2	
Cronobacter sakazakii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii	-	Arthropod;Birds;Human;Insect;Mammal;Reptile	BSL-2	Blood;Central nervous system;Digestive system;Respiratory system;Urinary system
Vibrio metschnikovii	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii	-	Arthropod;Birds;Human	BSL-2	
Capnocytophaga canimorsus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	null	Human;Mammal	BSL-2	Blood
Arcanobacterium haemolyticum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium haemolyticum	+	Human;Mammal	BSL-2	Skin/Soft tissue
Neisseria subflava	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava	-	Human	null	
Burkholderia pseudomallei	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	-	Birds;Environment;Human;Mammal;Primate;Reptile;Rodent	BSL-3	Blood;Central nervous system;Digestive system;Immune system;Respiratory system
Salmonella enterica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	-	Amphibian;Arthropod;Birds;Environment;Food;Human;Mammal;Mollusc;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Mycobacterium haemophilum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium haemophilum	+	Human	null	Respiratory system
Clostridium paraputrificum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium paraputrificum	+	Birds;Human;Mammal;Rodent	BSL-2	Digestive system
Staphylococcus auricularis	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus auricularis	+	Birds;Human;Mammal	BSL-1	Reproductive system
Staphylococcus cohnii	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii	+	Arthropod;Birds;Human;Mammal	BSL-1	Reproductive system
Staphylococcus saprophyticus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus	+	Birds;Human;Mammal;Plant;Rodent	BSL-2	Blood;Digestive system;Reproductive system;Urinary system
Acinetobacter haemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	-	Environment;Human	BSL-2	Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Brucella melitensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella melitensis	-	Human;Mammal;Rodent	BSL-3	Blood;Bone/Joint;Cardiovascular system;Reproductive system
Brucella suis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella suis	-	Human;Mammal	BSL-3	Blood;Reproductive system
Veillonella parvula	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula	-	Human	null	Eye/Ear/Oral/Nasal
Yersinia frederiksenii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii	-	Environment;Human;Mammal	BSL-2	
Vibrio furnissii	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio furnissii	-	Human	BSL-2	
Brachyspira aalborgi	Bacteria	Spirochaetota	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira aalborgi	null	Human	BSL-2	Digestive system
Parvimonas micra	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra	+	Human	null	Digestive system;Respiratory system
Streptococcus milleri	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus milleri	+	Human;Rodent	BSL-2	
