Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Burkholderia oklahomensis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia oklahomensis	-	Human	BSL-2	
Phocaeicola dorei	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei	-	Birds;Human;Mammal	BSL-1	
Streptococcus pseudoporcinus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudoporcinus	+	Human;Mammal	BSL-2	
Hoylesella timonensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella timonensis	-	Human	BSL-2	
Chromobacterium haemolyticum	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	null	Arthropod;Human	BSL-2	Blood
Hoylesella pleuritidis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella pleuritidis	-	Human	BSL-2	
Cronobacter dublinensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter dublinensis	-	Human;Mammal	BSL-2	
Cronobacter malonaticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus	-	Human;Insect;Mammal	BSL-2	Blood
Prevotella amnii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella amnii	-	Human	BSL-2	
Hoylesella nanceiensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella nanceiensis	-	Human	BSL-2	Respiratory system
Actinomyces massiliensis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis	+	Human	BSL-2	
Prevotella histicola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola	-	Human	BSL-2	Respiratory system
